date,headline_count,avg_sentiment
2026-06-16,2,-0.5181
2026-06-17,1,0.6369
2026-06-18,1,0.2732
2026-06-19,2,-0.3352
2026-06-20,2,0.1909
2026-06-23,2,0.4914
