date,close_price,volume,volume_anomaly
2026-03-30,355.2799987792969,67954400,0
2026-03-31,371.75,75534900,0
2026-04-01,381.260009765625,58683800,0
2026-04-02,360.5899963378906,83031200,0
2026-04-06,352.82000732421875,77697600,0
2026-04-07,346.6499938964844,74515400,0
2026-04-08,343.25,78838600,0
2026-04-09,345.6199951171875,62164000,0
2026-04-10,348.95001220703125,51336000,0
2026-04-13,352.4200134277344,53617500,0
2026-04-14,364.20001220703125,59979600,0
2026-04-15,391.95001220703125,113810400,1
2026-04-16,388.8999938964844,63515100,0
2026-04-17,400.6199951171875,90640000,0
2026-04-20,392.5,64603900,0
2026-04-21,386.4200134277344,50530600,0
2026-04-22,387.510009765625,62362800,0
2026-04-23,373.7200012207031,93969500,0
2026-04-24,376.29998779296875,62893300,0
2026-04-27,378.6700134277344,66735800,0
2026-04-28,376.0199890136719,50864400,0
2026-04-29,372.79998779296875,45384800,0
2026-04-30,381.6300048828125,51076000,0
2026-05-01,390.82000732421875,65338300,0
2026-05-04,392.510009765625,48765100,0
2026-05-05,389.3699951171875,47780600,0
2026-05-06,398.7300109863281,53465400,0
2026-05-07,411.7900085449219,64294200,0
2026-05-08,428.3500061035156,65050000,0
2026-05-11,445.0,78376100,0
2026-05-12,433.45001220703125,60569300,0
2026-05-13,445.2699890136719,68283200,0
2026-05-14,443.29998779296875,46070400,0
2026-05-15,422.239990234375,52688700,0
2026-05-18,409.989990234375,52474200,0
2026-05-19,404.1099853515625,46500600,0
2026-05-20,417.260009765625,45294700,0
2026-05-21,417.8500061035156,42636900,0
2026-05-22,426.010009765625,46104700,0
2026-05-26,433.5899963378906,45658900,0
2026-05-27,440.3599853515625,44656500,0
2026-05-28,442.1000061035156,32435000,0
2026-05-29,435.7900085449219,45176800,0
2026-06-01,415.8800048828125,44937900,0
2026-06-02,423.739990234375,37596000,0
2026-06-03,423.70001220703125,44500700,0
2026-06-04,418.45001220703125,35323300,0
2026-06-05,391.0,63420200,0
2026-06-08,408.95001220703125,50328800,0
2026-06-09,396.67999267578125,59940200,0
2026-06-10,381.5899963378906,49695600,0
2026-06-11,399.1499938964844,45324300,0
2026-06-12,406.42999267578125,63514500,0
2026-06-15,411.1499938964844,45620500,0
2026-06-16,404.6600036621094,40255500,0
2026-06-17,396.3800048828125,43534300,0
2026-06-18,400.489990234375,58384700,0
2026-06-22,405.04998779296875,47819500,0
2026-06-23,381.6099853515625,50420200,0
2026-06-24,375.5299987792969,37081400,0
2026-06-25,375.1199951171875,30138800,0
