date,close_price,volume
2026-03-25,178.47198486328125,162602100
2026-03-26,171.04066467285156,186152200
2026-03-27,167.32498168945312,196212700
2026-03-30,164.97772216796875,185627000
2026-03-31,174.1969757080078,226181300
2026-04-01,175.54541015625,168132000
2026-04-02,177.18348693847656,143143200
2026-04-06,177.43319702148438,107564300
2026-04-07,177.89266967773438,132534900
2026-04-08,181.8680419921875,147732700
2026-04-09,183.69590759277344,116428500
2026-04-10,188.41041564941406,160459500
2026-04-13,189.08961486816406,133648200
2026-04-14,196.28123474121094,161307000
2026-04-15,198.63848876953125,185338400
2026-04-16,198.1190948486328,134012900
2026-04-17,201.44520568847656,160324400
2026-04-20,201.82476806640625,119381400
2026-04-21,199.64732360839844,107945300
2026-04-22,202.26426696777344,107501000
2026-04-23,199.4075927734375,113561800
2026-04-24,208.0275421142578,214134400
2026-04-27,216.3578338623047,187172400
2026-04-28,212.92184448242188,180275400
2026-04-29,209.00640869140625,123711800
2026-04-30,199.33767700195312,225239200
2026-05-01,198.21897888183594,128647000
2026-05-04,198.24893188476562,125368100
2026-05-05,196.271240234375,113406600
2026-05-06,207.5880584716797,188362800
2026-05-07,211.2537841796875,168307900
2026-05-08,214.94947814941406,136421400
2026-05-11,219.18453979492188,160685800
2026-05-12,220.52297973632812,159176600
2026-05-13,225.56710815429688,150405400
2026-05-14,235.465576171875,180782900
2026-05-15,225.05770874023438,180977600
2026-05-18,222.0612030029297,146280900
2026-05-19,220.35317993164062,140948200
2026-05-20,223.20985412597656,184201600
2026-05-21,219.25445556640625,203381800
2026-05-22,215.07933044433594,169275700
2026-05-26,214.60987854003906,187202600
2026-05-27,212.35250854492188,167601200
2026-05-28,214.00057983398438,143996000
2026-05-29,210.8942108154297,289410600
2026-06-01,224.09881591796875,212850700
2026-06-02,222.56060791015625,193362900
2026-06-03,214.5,160907000
2026-06-04,218.66000366210938,169022200
2026-06-05,205.10000610351562,219655500
2026-06-08,208.63999938964844,138372800
2026-06-09,208.19000244140625,180962500
2026-06-10,200.4199981689453,161746600
2026-06-11,204.8699951171875,158643200
2026-06-12,205.19000244140625,112001800
2026-06-15,212.4499969482422,149936700
2026-06-16,207.41000366210938,125694100
2026-06-17,204.64999389648438,128363500
2026-06-18,210.69000244140625,241272000
2026-06-22,208.64999389648438,122041400
