date,close_price,volume
2026-03-24,181.0399932861328,20833000
2026-03-25,181.10000610351562,10432500
2026-03-26,173.3800048828125,9402600
2026-03-27,161.13999938964844,12289900
2026-03-30,160.7899932861328,11775200
2026-03-31,174.61000061035156,12665100
2026-04-01,172.99000549316406,8828600
2026-04-02,171.4600067138672,8869300
2026-04-06,174.7899932861328,7125200
2026-04-07,175.17999267578125,7653100
2026-04-08,175.08999633789062,9802400
2026-04-09,169.02000427246094,10754900
2026-04-10,167.85000610351562,7922400
2026-04-13,174.52999877929688,7481100
2026-04-14,184.41000366210938,10884800
2026-04-15,195.89999389648438,11817400
2026-04-16,199.8300018310547,11235800
2026-04-17,206.3300018310547,15670400
2026-04-20,211.6300048828125,9967500
2026-04-21,195.9499969482422,15121100
2026-04-22,206.24000549316406,12096800
2026-04-23,197.92999267578125,8778500
2026-04-24,199.77000427246094,5799100
2026-04-27,196.67999267578125,7855600
2026-04-28,194.10000610351562,6316100
2026-04-29,181.72999572753906,12609600
2026-04-30,187.77000427246094,7786700
2026-05-01,191.25,6771100
2026-05-04,202.99000549316406,11243400
2026-05-05,197.75,10074200
2026-05-06,197.9600067138672,7764900
2026-05-07,192.9600067138672,9158100
2026-05-08,201.16000366210938,12909400
2026-05-11,216.60000610351562,13659300
2026-05-12,207.63999938964844,9514400
2026-05-13,201.8000030517578,8370200
2026-05-14,212.00999450683594,16576900
2026-05-15,195.42999267578125,14428600
2026-05-18,189.44000244140625,10399800
2026-05-19,193.4499969482422,7085000
2026-05-20,191.2899932861328,7044200
2026-05-21,193.55999755859375,5674300
2026-05-22,184.99000549316406,7927600
2026-05-26,180.00999450683594,7755000
2026-05-27,173.77999877929688,8196800
2026-05-28,182.25,9042900
2026-05-29,189.02999877929688,10249800
2026-06-01,182.61000061035156,9063100
2026-06-02,173.99000549316406,9228400
2026-06-03,163.22000122070312,9544600
2026-06-04,164.1300048828125,8499400
2026-06-05,152.39999389648438,16718500
2026-06-08,162.11000061035156,8827800
2026-06-09,155.5,8896200
2026-06-10,153.97000122070312,6406600
2026-06-11,160.42999267578125,6933100
2026-06-12,159.77999877929688,6489500
2026-06-15,169.6199951171875,8972000
2026-06-16,169.27000427246094,6412800
2026-06-17,164.9199981689453,8151500
2026-06-18,163.25999450683594,9826800
