date,close_price,volume,volume_anomaly
2026-03-25,293.91583251953125,12188200,0
2026-03-26,290.1749572753906,8669200,0
2026-03-27,281.3998718261719,9873300,0
2026-03-30,282.32513427734375,11734400,0
2026-03-31,292.6622314453125,12956900,0
2026-04-01,293.87603759765625,11267200,0
2026-04-02,293.1000061035156,6669300,0
2026-04-06,295.45001220703125,7142600,0
2026-04-07,297.3999938964844,7849100,0
2026-04-08,307.9700012207031,10590200,0
2026-04-09,310.3299865722656,6586600,0
2026-04-10,309.8699951171875,6069700,0
2026-04-13,313.67999267578125,8318200,0
2026-04-14,311.1199951171875,11455500,0
2026-04-15,305.92999267578125,9885800,0
2026-04-16,309.95001220703125,8208600,0
2026-04-17,310.2900085449219,11082400,0
2026-04-20,316.989990234375,10772000,0
2026-04-21,313.0,7084300,0
2026-04-22,313.0199890136719,5545900,0
2026-04-23,311.69000244140625,6969700,0
2026-04-24,308.2799987792969,5215300,0
2026-04-27,311.6300048828125,7925300,0
2026-04-28,311.45001220703125,7398600,0
2026-04-29,309.25,8031800,0
2026-04-30,313.2300109863281,8865400,0
2026-05-01,312.4700012207031,6135400,0
2026-05-04,307.6499938964844,7338200,0
2026-05-05,309.3999938964844,6316800,0
2026-05-06,314.8999938964844,8629500,0
2026-05-07,306.2699890136719,8359600,0
2026-05-08,302.1000061035156,9464300,0
2026-05-11,300.0,9512000,0
2026-05-12,304.8800048828125,9498200,0
2026-05-13,300.25,7709500,0
2026-05-14,299.9100036621094,7364300,0
2026-05-15,297.80999755859375,8699300,0
2026-05-18,300.7300109863281,7546300,0
2026-05-19,295.70001220703125,8066900,0
2026-05-20,301.9800109863281,9327000,0
2026-05-21,303.0,7874400,0
2026-05-22,306.3800048828125,5973900,0
2026-05-26,306.739990234375,7725400,0
2026-05-27,299.2799987792969,11779200,1
2026-05-28,296.7300109863281,9757700,0
2026-05-29,299.30999755859375,13969000,1
2026-06-01,296.5799865722656,7930000,0
2026-06-02,300.9599914550781,8296200,0
2026-06-03,300.8500061035156,7003900,0
2026-06-04,310.8900146484375,10345200,0
2026-06-05,312.3699951171875,9118800,0
2026-06-08,311.1099853515625,6827000,0
2026-06-09,312.70001220703125,11594600,0
2026-06-10,309.1400146484375,7446200,0
2026-06-11,313.489990234375,9116600,0
2026-06-12,320.7200012207031,7426200,0
2026-06-15,319.3999938964844,7988900,0
2026-06-16,331.1400146484375,11094900,0
2026-06-17,333.4599914550781,12246400,0
2026-06-18,325.2200012207031,20111000,1
2026-06-22,331.4800109863281,10182500,0
