date,message_count,bullish_count,bearish_count,net_sentiment
2026-06-18,60,0,20,-100.0
2026-06-21,20,20,0,100.0
2026-06-22,220,0,100,-100.0
2026-06-23,140,20,60,-50.0
2026-06-24,20,0,0,0.0
2026-06-25,100,20,0,100.0
2026-06-26,40,0,20,-100.0
