date,headline_count,avg_sentiment
2026-05-26,1,0.0
2026-06-04,1,0.0
2026-06-05,1,0.0
2026-06-08,1,0.4767
2026-06-11,1,0.0
2026-06-12,1,0.0
2026-06-16,2,0.1806
2026-06-18,1,0.0
2026-06-23,1,0.0
