date,close_price,volume,volume_anomaly
2026-03-30,94.31999969482422,10592600,0
2026-03-31,96.37999725341797,11180200,0
2026-04-01,96.55999755859375,8518600,0
2026-04-02,96.61000061035156,6379100,0
2026-04-06,96.27999877929688,5882200,0
2026-04-07,95.77999877929688,7913000,0
2026-04-08,99.18000030517578,10821000,0
2026-04-09,99.79000091552734,8918300,0
2026-04-10,99.16999816894531,6359600,0
2026-04-13,101.18000030517578,6790300,0
2026-04-14,102.58999633789062,9997400,0
2026-04-15,103.04000091552734,7035300,0
2026-04-16,103.9000015258789,8145900,0
2026-04-17,106.29000091552734,10506200,0
2026-04-20,106.30000305175781,6423400,0
2026-04-21,104.29000091552734,7784500,0
2026-04-22,104.81999969482422,6886600,0
2026-04-23,103.6500015258789,6147000,0
2026-04-24,102.5999984741211,5974500,0
2026-04-27,102.3499984741211,6524300,0
2026-04-28,101.47000122070312,6409300,0
2026-04-29,101.30000305175781,5533700,0
2026-04-30,103.75,9203500,0
2026-05-01,103.08000183105469,5956900,0
2026-05-04,101.30999755859375,8400100,0
2026-05-05,100.4800033569336,14314700,1
2026-05-06,108.05999755859375,23219500,1
2026-05-07,108.66000366210938,14309200,0
2026-05-08,108.0199966430664,8370000,0
2026-05-11,104.72000122070312,10562300,0
2026-05-12,106.16000366210938,8178500,0
2026-05-13,104.9000015258789,7605900,0
2026-05-14,105.41999816894531,6144600,0
2026-05-15,102.72000122070312,9258600,0
2026-05-18,103.91000366210938,9037200,0
2026-05-19,102.29000091552734,7032600,0
2026-05-20,104.08000183105469,7941400,0
2026-05-21,103.58000183105469,8611200,0
2026-05-22,103.0,5693300,0
2026-05-26,103.27999877929688,6714400,0
2026-05-27,104.18000030517578,7360100,0
2026-05-28,103.7300033569336,6511100,0
2026-05-29,101.83000183105469,13340300,0
2026-06-01,102.8499984741211,8219000,0
2026-06-02,101.41000366210938,8397400,0
2026-06-03,99.38999938964844,7471600,0
2026-06-04,99.33999633789062,9568000,0
2026-06-05,99.70999908447266,9501600,0
2026-06-08,98.87000274658203,7559200,0
2026-06-09,99.33000183105469,8616300,0
2026-06-10,98.61000061035156,7041400,0
2026-06-11,100.33999633789062,9264400,0
2026-06-12,100.04000091552734,8257200,0
2026-06-15,101.69000244140625,10265100,0
2026-06-16,101.27999877929688,10694600,0
2026-06-17,100.86000061035156,11168700,0
2026-06-18,103.88999938964844,22943600,1
2026-06-22,102.44999694824219,17396300,1
2026-06-23,103.52999877929688,14457400,0
2026-06-24,101.12000274658203,12215500,0
2026-06-25,98.05000305175781,12054400,0
