date,close_price,volume
2026-03-25,370.2381286621094,31181200
2026-03-26,365.1790771484375,36836600
2026-03-27,355.9989318847656,37883400
2026-03-30,358.1842041015625,44797000
2026-03-31,369.3699951171875,45244400
2026-04-01,368.57171630859375,29417200
2026-04-02,372.6528625488281,24099100
2026-04-06,372.0741271972656,16146600
2026-04-07,371.48541259765625,21443300
2026-04-08,373.52099609375,33064800
2026-04-09,372.26373291015625,30435300
2026-04-10,370.0684814453125,28111100
2026-04-13,383.539306640625,35745800
2026-04-14,392.2604064941406,37504500
2026-04-15,410.3312683105469,45063400
2026-04-16,419.35174560546875,41642400
2026-04-17,421.87628173828125,48568200
2026-04-20,417.1664733886719,27582200
2026-04-21,423.2433166503906,32048500
2026-04-22,431.984375,29378200
2026-04-23,414.8514709472656,38308000
2026-04-24,423.7023010253906,27457400
2026-04-27,423.9018859863281,30867300
2026-04-28,428.3222961425781,30438100
2026-04-29,423.5426330566406,38288300
2026-04-30,406.8987121582031,70909400
2026-05-01,413.5443115234375,31372400
2026-05-04,412.72607421875,28066500
2026-05-05,410.4909362792969,25700900
2026-05-06,413.0653381347656,30285900
2026-05-07,419.8606262207031,34942400
2026-05-08,414.22283935546875,33383800
2026-05-11,411.7681579589844,35657900
2026-05-12,406.8887023925781,38594200
2026-05-13,404.3342590332031,29667100
2026-05-14,408.5451354980469,27077500
2026-05-15,421.0081481933594,50771200
2026-05-18,422.6246643066406,32564100
2026-05-19,416.51788330078125,33018700
2026-05-20,420.1499938964844,27864000
2026-05-21,419.0899963378906,31393500
2026-05-22,418.57000732421875,22390300
2026-05-26,416.0299987792969,30398000
2026-05-27,412.6700134277344,28901500
2026-05-28,426.989990234375,47250500
2026-05-29,450.239990234375,79654400
2026-06-01,460.5199890136719,53628900
2026-06-02,441.30999755859375,37036800
2026-06-03,427.3399963378906,39037000
2026-06-04,428.04998779296875,26899500
2026-06-05,416.6700134277344,34782200
2026-06-08,411.739990234375,32086700
2026-06-09,403.4100036621094,35317300
2026-06-10,397.3599853515625,32576000
2026-06-11,390.3399963378906,47224100
2026-06-12,390.739990234375,34865800
2026-06-15,399.760009765625,32266400
2026-06-16,393.8299865722656,31506800
2026-06-17,378.9100036621094,41987800
2026-06-18,379.3999938964844,59714200
2026-06-22,367.3399963378906,45171100
