date,close_price,volume,volume_anomaly
2026-03-25,18.68000030517578,13144400,0
2026-03-26,17.959999084472656,18758800,0
2026-03-27,17.760000228881836,16314000,0
2026-03-30,18.010000228881836,18796300,0
2026-03-31,18.34000015258789,16487700,0
2026-04-01,18.290000915527344,17309100,0
2026-04-02,18.18000030517578,14519000,0
2026-04-06,18.25,13882600,0
2026-04-07,18.200000762939453,9951800,0
2026-04-08,18.100000381469727,14044300,0
2026-04-09,17.940000534057617,13765200,0
2026-04-10,17.6200008392334,14631200,0
2026-04-13,18.020000457763672,11923700,0
2026-04-14,18.700000762939453,10965500,0
2026-04-15,20.270000457763672,24844600,1
2026-04-16,20.1200008392334,14590200,0
2026-04-17,20.1200008392334,15158200,0
2026-04-20,20.639999389648438,11069500,0
2026-04-21,20.6200008392334,11066300,0
2026-04-22,20.6200008392334,9782900,0
2026-04-23,19.790000915527344,8993900,0
2026-04-24,19.920000076293945,11584600,0
2026-04-27,20.329999923706055,9389100,0
2026-04-28,19.8799991607666,12289900,0
2026-04-29,19.729999542236328,13581700,0
2026-04-30,19.65999984741211,11775900,0
2026-05-01,20.219999313354492,15929000,0
2026-05-04,20.850000381469727,37884200,1
2026-05-05,22.280000686645508,59021000,1
2026-05-06,21.15999984741211,32006900,0
2026-05-07,21.549999237060547,27504400,0
2026-05-08,21.270000457763672,19162600,0
2026-05-11,20.760000228881836,16123200,0
2026-05-12,20.559999465942383,15689400,0
2026-05-13,19.350000381469727,19379000,0
2026-05-14,19.030000686645508,20835300,0
2026-05-15,19.469999313354492,13608400,0
2026-05-18,19.93000030517578,11379100,0
2026-05-19,18.84000015258789,17253300,0
2026-05-20,18.809999465942383,16652100,0
2026-05-21,18.850000381469727,15965500,0
2026-05-22,19.290000915527344,12783700,0
2026-05-26,19.329999923706055,11082700,0
2026-05-27,20.030000686645508,13768500,0
2026-05-28,20.649999618530273,16301600,0
2026-05-29,20.049999237060547,66594800,1
2026-06-01,21.350000381469727,25066000,0
2026-06-02,20.8700008392334,16953000,0
2026-06-03,20.670000076293945,21050700,0
2026-06-04,21.59000015258789,27526600,0
2026-06-05,21.420000076293945,18229100,0
2026-06-08,21.989999771118164,28861900,0
2026-06-09,21.920000076293945,23400300,0
2026-06-10,21.770000457763672,20861700,0
2026-06-11,21.5,19341900,0
2026-06-12,20.209999084472656,12359200,0
2026-06-15,21.329999923706055,15505600,0
2026-06-16,21.15999984741211,20454000,0
2026-06-17,20.360000610351562,19613500,0
2026-06-18,20.270000457763672,39836000,0
2026-06-22,19.5,21533900,0
