date,close_price,volume
2026-03-25,838.1461791992188,1628900
2026-03-26,819.0303955078125,2052200
2026-03-27,799.3670654296875,2106800
2026-03-30,804.0563354492188,1621400
2026-03-31,842.2778930664062,2689800
2026-04-01,856.435546875,1803600
2026-04-02,859.2531127929688,1717700
2026-04-06,862.2498779296875,1444500
2026-04-07,860.3582763671875,1498400
2026-04-08,901.7756958007812,2439000
2026-04-09,899.7545776367188,1797800
2026-04-10,903.8167114257812,1642700
2026-04-13,886.88134765625,4236200
2026-04-14,905.638671875,2822600
2026-04-15,895.5431518554688,2403900
2026-04-16,896.0509033203125,1742100
2026-04-17,921.8870849609375,2805100
2026-04-20,937.6077880859375,2374300
2026-04-21,922.4844360351562,1765400
2026-04-22,930.7380981445312,1382600
2026-04-23,927.2135620117188,1655000
2026-04-24,922.8428344726562,1263300
2026-04-27,933.6950073242188,1223000
2026-04-28,922.4844360351562,1501600
2026-04-29,901.6263427734375,1725900
2026-04-30,919.7166748046875,1880300
2026-05-01,919.6569213867188,1359800
2026-05-04,899.3065795898438,1660100
2026-05-05,914.8580322265625,1507200
2026-05-06,933.2369995117188,2318200
2026-05-07,921.8074340820312,1715300
2026-05-08,932.370849609375,1665000
2026-05-11,940.7140502929688,2411400
2026-05-12,941.7495727539062,2236500
2026-05-13,951.2277221679688,2355200
2026-05-14,964.7083740234375,1898000
2026-05-15,944.3082275390625,1862700
2026-05-18,942.20751953125,1508000
2026-05-19,924.664794921875,1767300
2026-05-20,977.8106079101562,3104400
2026-05-21,983.8340454101562,2452300
2026-05-22,992.3564453125,1923500
2026-05-26,990.1561889648438,2080600
2026-05-27,992.0975952148438,2195000
2026-05-28,1003.9454345703125,2273000
2026-05-29,1021.06005859375,2158000
2026-06-01,1048.5799560546875,2666700
2026-06-02,1064.5799560546875,2125600
2026-06-03,1041.02001953125,2562200
2026-06-04,1092.6099853515625,2608800
2026-06-05,1038.6800537109375,2643800
2026-06-08,1045.0,2326700
2026-06-09,1032.010009765625,2868500
2026-06-10,1001.2899780273438,2287200
2026-06-11,1035.6400146484375,2561900
2026-06-12,1062.75,2206000
2026-06-15,1076.1700439453125,2364000
2026-06-16,1090.6700439453125,1965500
2026-06-17,1099.1400146484375,2180000
2026-06-18,1096.56005859375,4499200
2026-06-22,1106.3699951171875,1894400
