date,close_price,volume
2026-03-25,620.1402587890625,1190300
2026-03-26,623.2498779296875,1262400
2026-03-27,611.8346557617188,1061100
2026-03-30,594.6769409179688,1849300
2026-03-31,600.4591064453125,1327800
2026-04-01,613.6229248046875,1118100
2026-04-02,618.7393798828125,1116800
2026-04-06,633.7511596679688,1128800
2026-04-07,623.6174926757812,732100
2026-04-08,624.4122924804688,1283400
2026-04-09,619.8123779296875,911100
2026-04-10,609.7283935546875,874000
2026-04-13,615.6595458984375,678700
2026-04-14,607.6023559570312,905700
2026-04-15,607.1254272460938,879300
2026-04-16,603.5389404296875,853500
2026-04-17,588.3384399414062,1701600
2026-04-20,577.4993896484375,1722000
2026-04-21,568.2301025390625,1603500
2026-04-22,551.8175048828125,2289000
2026-04-23,526.34423828125,3212500
2026-04-24,510.1105651855469,3089200
2026-04-27,510.01116943359375,2111400
2026-04-28,508.95806884765625,1456100
2026-04-29,506.4942321777344,1619200
2026-04-30,514.6011352539062,1588400
2026-05-01,509.43499755859375,1403300
2026-05-04,514.780029296875,1370900
2026-05-05,505.61993408203125,1365200
2026-05-06,510.915283203125,1590400
2026-05-07,509.0773010253906,2056300
2026-05-08,503.2156982421875,1293800
2026-05-11,508.9183654785156,1363600
2026-05-12,517.6114501953125,1163000
2026-05-13,516.558349609375,824600
2026-05-14,517.0252685546875,856600
2026-05-15,512.6539306640625,1299200
2026-05-18,524.8739013671875,1382800
2026-05-19,523.204833984375,1107600
2026-05-20,519.191162109375,1018900
2026-05-21,519.3897705078125,1639700
2026-05-22,529.7718505859375,1050600
2026-05-26,529.43408203125,1346600
2026-05-27,527.6854858398438,1044900
2026-05-28,533.716064453125,1137600
2026-05-29,527.0,2246900
2026-06-01,516.5,1374600
2026-06-02,513.4299926757812,1079200
2026-06-03,512.030029296875,1044000
2026-06-04,519.0499877929688,851300
2026-06-05,523.760009765625,903100
2026-06-08,520.0700073242188,847600
2026-06-09,530.1300048828125,1020700
2026-06-10,525.02001953125,934300
2026-06-11,548.6799926757812,1378100
2026-06-12,540.3300170898438,1029400
2026-06-15,530.3599853515625,1196900
2026-06-16,535.9500122070312,847700
2026-06-17,532.3200073242188,1142300
2026-06-18,510.95001220703125,3978800
2026-06-22,493.6000061035156,1704900
