date,close_price,volume,volume_anomaly
2026-03-30,186.3736572265625,5043800,0
2026-03-31,192.0998077392578,5318500,0
2026-04-01,193.91226196289062,4127200,0
2026-04-02,195.39608764648438,4113900,0
2026-04-06,197.5869598388672,2314900,0
2026-04-07,197.09898376464844,3037500,0
2026-04-08,202.63592529296875,4455800,0
2026-04-09,202.34713745117188,2789700,0
2026-04-10,200.72389221191406,3151900,0
2026-04-13,200.57452392578125,3429200,0
2026-04-14,201.9687042236328,3303100,0
2026-04-15,197.56704711914062,4424800,0
2026-04-16,195.03758239746094,3999300,0
2026-04-17,195.60520935058594,4777200,0
2026-04-20,194.97781372070312,4988200,0
2026-04-21,186.39358520507812,7489900,1
2026-04-22,180.15956115722656,8513900,1
2026-04-23,178.5562286376953,6289400,0
2026-04-24,173.53712463378906,10505100,1
2026-04-27,172.66079711914062,6511700,0
2026-04-28,174.95123291015625,6115800,0
2026-04-29,172.07322692871094,5037900,0
2026-04-30,175.33963012695312,6224400,0
2026-05-01,173.2682647705078,4494800,0
2026-05-04,172.18276977539062,5081300,0
2026-05-05,172.15289306640625,4721200,0
2026-05-06,176.00685119628906,6099000,0
2026-05-07,176.0466766357422,5658900,0
2026-05-08,175.3595428466797,6277400,0
2026-05-11,177.8690948486328,6524100,0
2026-05-12,178.14793395996094,5604900,0
2026-05-13,177.3711700439453,6144100,0
2026-05-14,174.95123291015625,6421600,0
2026-05-15,170.46990966796875,7694000,0
2026-05-18,175.22012329101562,5627400,0
2026-05-19,173.7661895751953,5578600,0
2026-05-20,174.12469482421875,6634800,0
2026-05-21,175.25,3596300,0
2026-05-22,177.00999450683594,4315400,0
2026-05-26,178.97000122070312,5529700,0
2026-05-27,176.58999633789062,5147100,0
2026-05-28,178.9600067138672,5834800,0
2026-05-29,179.66000366210938,8754400,0
2026-06-01,174.41000366210938,5482000,0
2026-06-02,174.25999450683594,4385900,0
2026-06-03,172.5500030517578,4322000,0
2026-06-04,179.41000366210938,4697200,0
2026-06-05,180.99000549316406,6272200,0
2026-06-08,178.66000366210938,5908700,0
2026-06-09,181.55999755859375,6227900,0
2026-06-10,177.41000366210938,6037300,0
2026-06-11,184.2100067138672,6492700,0
2026-06-12,183.52999877929688,3348400,0
2026-06-15,183.63999938964844,6073900,0
2026-06-16,186.77000427246094,5103600,0
2026-06-17,192.5800018310547,7530100,0
2026-06-18,185.60000610351562,8866400,1
2026-06-22,181.8300018310547,6351800,0
2026-06-23,186.38999938964844,3908600,0
2026-06-24,185.05999755859375,4463700,0
2026-06-25,186.58999633789062,3591100,0
