date,close_price,volume
2026-03-25,23.079999923706055,7850100
2026-03-26,22.559999465942383,6905900
2026-03-27,22.100000381469727,5068800
2026-03-30,22.270000457763672,6651600
2026-03-31,23.040000915527344,8431100
2026-04-01,22.760000228881836,4417700
2026-04-02,23.360000610351562,3855200
2026-04-06,23.079999923706055,3660100
2026-04-07,23.43000030517578,10668300
2026-04-08,22.90999984741211,6788600
2026-04-09,22.8700008392334,3163800
2026-04-10,23.219999313354492,5856400
2026-04-13,23.399999618530273,5516100
2026-04-14,24.030000686645508,10482700
2026-04-15,24.790000915527344,11695400
2026-04-16,25.18000030517578,10701100
2026-04-17,24.549999237060547,8161000
2026-04-20,24.920000076293945,6199700
2026-04-21,24.459999084472656,6472800
2026-04-22,25.65999984741211,9643700
2026-04-23,25.010000228881836,8576900
2026-04-24,24.950000762939453,5148900
2026-04-27,25.40999984741211,6260400
2026-04-28,25.09000015258789,4326800
2026-04-29,24.520000457763672,7071500
2026-04-30,24.950000762939453,4492500
2026-05-01,26.530000686645508,20284900
2026-05-04,23.84000015258789,40178600
2026-05-05,24.229999542236328,17979600
2026-05-06,25.170000076293945,11606500
2026-05-07,23.969999313354492,8794000
2026-05-08,24.280000686645508,5957700
2026-05-11,23.170000076293945,17915500
2026-05-12,22.3700008392334,11936700
2026-05-13,22.079999923706055,7356900
2026-05-14,21.610000610351562,5663100
2026-05-15,21.59000015258789,5346600
2026-05-18,21.90999984741211,5260600
2026-05-19,22.100000381469727,4433300
2026-05-20,22.549999237060547,6327600
2026-05-21,22.489999771118164,3145300
2026-05-22,21.959999084472656,5279700
2026-05-26,21.90999984741211,5875500
2026-05-27,21.68000030517578,4194000
2026-05-28,21.68000030517578,3214700
2026-05-29,21.18000030517578,6486800
2026-06-01,21.360000610351562,6769700
2026-06-02,20.920000076293945,6025000
2026-06-03,22.18000030517578,17884800
2026-06-04,22.270000457763672,6818900
2026-06-05,21.799999237060547,6429200
2026-06-08,22.260000228881836,5115500
2026-06-09,22.280000686645508,5686200
2026-06-10,22.420000076293945,4425800
2026-06-11,22.18000030517578,6014000
2026-06-12,21.770000457763672,5328300
2026-06-15,21.739999771118164,4762900
2026-06-16,21.459999084472656,6375900
2026-06-17,21.510000228881836,4680300
2026-06-18,21.520000457763672,9220100
2026-06-22,21.139999389648438,6373000
