filed_date,period_date,insider_name,title,transaction_code,transaction_type,shares,price_per_share,total_value
2026-06-15,2026-06-11,Hill Stephanie C.,Pres. Rotary & Mission Systems,G,Gift,368.0,0.0,
2026-04-06,2026-04-01,Hollub Vicki A.,Director,M,Option exercise,415.602,0.0,
