date,call_volume,put_volume,put_call_ratio,avg_call_iv,avg_put_iv
2026-06-23,309270,344030,1.1124,0.6771,0.6492
2026-06-24,309270,344030,1.1124,0.1166,0.1959
2026-06-26,802485,693748,0.8645,0.5584,1.1528
