date,close_price,volume,volume_anomaly
2026-03-25,290.7563171386719,29460700,0
2026-03-26,280.7523193359375,39080600,0
2026-03-27,274.1762390136719,35890600,0
2026-03-30,273.33673095703125,35141200,0
2026-03-31,287.3883361816406,43875400,0
2026-04-01,297.2124938964844,37684500,0
2026-04-02,295.59344482421875,21666500,0
2026-04-06,299.8109130859375,16945500,0
2026-04-07,305.27764892578125,23205400,0
2026-04-08,317.1305847167969,33547100,0
2026-04-09,318.29986572265625,23739200,0
2026-04-10,317.0506286621094,19152600,0
2026-04-13,321.1181945800781,18866400,0
2026-04-14,332.7112731933594,27721400,0
2026-04-15,336.91876220703125,24918800,0
2026-04-16,335.81939697265625,20541500,0
2026-04-17,341.4760437011719,25581900,0
2026-04-20,337.2185974121094,18784200,0
2026-04-21,332.0916442871094,23123800,0
2026-04-22,339.1174621582031,20293000,0
2026-04-23,338.6877136230469,18650300,0
2026-04-24,344.19439697265625,26426100,0
2026-04-27,350.130859375,28576900,0
2026-04-28,349.5711975097656,27824100,0
2026-04-29,349.7311096191406,35376300,0
2026-04-30,384.5702819824219,72040000,1
2026-05-01,385.45977783203125,30105200,0
2026-05-04,383.0212097167969,26298600,0
2026-05-05,388.1981201171875,23878600,0
2026-05-06,397.8023986816406,31308500,0
2026-05-07,397.7524108886719,24433500,0
2026-05-08,400.56072998046875,21461800,0
2026-05-11,388.40802001953125,30753700,0
2026-05-12,387.1187744140625,26017500,0
2026-05-13,402.3796691894531,28144600,0
2026-05-14,400.8305969238281,21136700,0
2026-05-15,396.54315185546875,20309700,0
2026-05-18,396.70306396484375,26837200,0
2026-05-19,387.4285888671875,39545700,0
2026-05-20,388.6778564453125,31744400,0
2026-05-21,387.4285888671875,24852800,0
2026-05-22,382.74139404296875,20442100,0
2026-05-26,388.6478576660156,27747400,0
2026-05-27,388.5978698730469,23087300,0
2026-05-28,389.8971252441406,24357500,0
2026-05-29,380.1129455566406,44415800,0
2026-06-01,376.14532470703125,28672100,0
2026-06-02,361.6340026855469,50412300,0
2026-06-03,358.77569580078125,55441600,1
2026-06-04,371.96783447265625,44055500,0
2026-06-05,368.30999755859375,37471200,0
2026-06-08,363.30999755859375,27942500,0
2026-06-09,364.260009765625,29535100,0
2026-06-10,356.3800048828125,32357100,0
2026-06-11,357.7699890136719,35538200,0
2026-06-12,359.67999267578125,24704600,0
2026-06-15,369.3500061035156,27727500,0
2026-06-16,373.25,24876100,0
2026-06-17,363.7900085449219,24543600,0
2026-06-18,368.0299987792969,44470100,0
2026-06-22,349.67999267578125,52814800,1
