ticker,signal,lag,correlation,n_obs
GOOGL,wikipedia_views,3,-0.2345,57
GOOGL,google_trends,-3,0.1071,57
GOOGL,google_trends,-2,-0.0749,58
GOOGL,google_trends,-1,0.0335,59
GOOGL,google_trends,0,0.2534,60
GOOGL,google_trends,1,0.2235,59
GOOGL,google_trends,2,0.0787,58
GOOGL,google_trends,3,0.0677,57
META,wikipedia_views,-3,-0.1254,57
META,wikipedia_views,-2,0.0197,58
META,wikipedia_views,-1,-0.0931,59
META,wikipedia_views,0,-0.2095,60
META,wikipedia_views,1,-0.1911,59
META,wikipedia_views,2,-0.0447,58
META,wikipedia_views,3,0.0123,57
PLTR,wikipedia_views,-3,0.1923,57
PLTR,wikipedia_views,-2,0.0862,58
PLTR,wikipedia_views,-1,0.1741,59
PLTR,wikipedia_views,0,0.19,60
PLTR,wikipedia_views,1,-0.0076,59
PLTR,wikipedia_views,2,-0.2065,58
PLTR,wikipedia_views,3,-0.2346,57
SNAP,wikipedia_views,-3,-0.1761,57
SNAP,wikipedia_views,-2,-0.0749,58
SNAP,wikipedia_views,-1,0.0407,59
SNAP,wikipedia_views,0,-0.0621,60
SNAP,wikipedia_views,1,-0.2372,59
SNAP,wikipedia_views,2,-0.2452,58
SNAP,wikipedia_views,3,-0.3468,57
SNAP,google_trends,-3,0.1571,57
SNAP,google_trends,-2,0.3841,58
SNAP,google_trends,-1,0.3454,59
SNAP,google_trends,0,0.1514,60
SNAP,google_trends,1,0.0576,59
SNAP,google_trends,2,-0.0148,58
SNAP,google_trends,3,0.1024,57
PINS,wikipedia_views,-3,0.0927,57
PINS,wikipedia_views,-2,0.0425,58
PINS,wikipedia_views,-1,0.1765,59
PINS,wikipedia_views,0,0.2375,60
PINS,wikipedia_views,1,0.0181,59
PINS,wikipedia_views,2,-0.0397,58
PINS,wikipedia_views,3,0.0319,57
PINS,google_trends,-3,-0.0675,57
PINS,google_trends,-2,-0.2168,58
PINS,google_trends,-1,0.026,59
PINS,google_trends,0,0.1394,60
PINS,google_trends,1,0.0123,59
PINS,google_trends,2,-0.2739,58
PINS,google_trends,3,0.0497,57
RDDT,wikipedia_views,-3,-0.0146,57
RDDT,wikipedia_views,-2,0.1433,58
RDDT,wikipedia_views,-1,0.0485,59
RDDT,wikipedia_views,0,-0.0344,60
RDDT,wikipedia_views,1,-0.2647,59
RDDT,wikipedia_views,2,-0.148,58
RDDT,wikipedia_views,3,-0.0298,57
RDDT,google_trends,-3,-0.0088,57
RDDT,google_trends,-2,0.1075,58
RDDT,google_trends,-1,0.1655,59
RDDT,google_trends,0,0.0772,60
RDDT,google_trends,1,-0.0175,59
RDDT,google_trends,2,-0.0315,58
RDDT,google_trends,3,0.295,57
SPOT,wikipedia_views,-3,-0.1268,57
SPOT,wikipedia_views,-2,-0.0621,58
SPOT,wikipedia_views,-1,0.2004,59
SPOT,wikipedia_views,0,0.086,60
SPOT,wikipedia_views,1,0.025,59
SPOT,wikipedia_views,2,-0.0063,58
SPOT,wikipedia_views,3,0.0447,57
SPOT,google_trends,-3,0.0858,57
SPOT,google_trends,-2,0.0399,58
SPOT,google_trends,-1,0.0855,59
SPOT,google_trends,0,0.2107,60
SPOT,google_trends,1,0.1584,59
SPOT,google_trends,2,0.1786,58
SPOT,google_trends,3,0.1251,57
NFLX,wikipedia_views,-3,0.1644,57
NFLX,wikipedia_views,-2,0.0163,58
NFLX,wikipedia_views,-1,0.189,59
NFLX,wikipedia_views,0,-0.0914,60
NFLX,wikipedia_views,1,0.1242,59
NFLX,wikipedia_views,2,0.1284,58
NFLX,wikipedia_views,3,0.249,57
NFLX,google_trends,-3,0.1104,57
NFLX,google_trends,-2,-0.0711,58
NFLX,google_trends,-1,0.0078,59
NFLX,google_trends,0,-0.3127,60
NFLX,google_trends,1,-0.166,59
NFLX,google_trends,2,0.0289,58
NFLX,google_trends,3,0.1486,57
DIS,wikipedia_views,-3,0.0797,57
DIS,wikipedia_views,-2,-0.0672,58
DIS,wikipedia_views,-1,0.1253,59
DIS,wikipedia_views,0,-0.077,60
DIS,wikipedia_views,1,-0.0168,59
DIS,wikipedia_views,2,0.0563,58
DIS,wikipedia_views,3,-0.1012,57
DIS,google_trends,-3,-0.134,57
DIS,google_trends,-2,0.0716,58
DIS,google_trends,-1,-0.0827,59
DIS,google_trends,0,0.1993,60
DIS,google_trends,1,0.0539,59
DIS,google_trends,2,-0.1136,58
DIS,google_trends,3,-0.1189,57
UBER,wikipedia_views,-3,-0.0232,57
UBER,wikipedia_views,-2,0.0106,58
UBER,wikipedia_views,-1,0.1033,59
UBER,wikipedia_views,0,-0.1656,60
UBER,wikipedia_views,1,-0.0664,59
UBER,wikipedia_views,2,-0.0114,58
UBER,wikipedia_views,3,-0.1309,57
UBER,google_trends,-3,-0.0198,57
UBER,google_trends,-2,0.0868,58
UBER,google_trends,-1,-0.0063,59
UBER,google_trends,0,-0.0155,60
UBER,google_trends,1,-0.1128,59
UBER,google_trends,2,-0.0287,58
UBER,google_trends,3,0.0111,57
JPM,wikipedia_views,-3,-0.0938,57
JPM,wikipedia_views,-2,-0.1455,58
JPM,wikipedia_views,-1,0.0358,59
JPM,wikipedia_views,0,-0.0229,60
JPM,wikipedia_views,1,-0.2674,59
JPM,wikipedia_views,2,-0.1369,58
JPM,wikipedia_views,3,-0.1056,57
JPM,google_trends,-3,-0.0031,57
JPM,google_trends,-2,-0.115,58
JPM,google_trends,-1,0.0118,59
JPM,google_trends,0,-0.0144,60
JPM,google_trends,1,-0.2152,59
JPM,google_trends,2,-0.1898,58
JPM,google_trends,3,0.0805,57
GS,wikipedia_views,-3,-0.0559,57
GS,wikipedia_views,-2,-0.054,58
GS,wikipedia_views,-1,0.0981,59
GS,wikipedia_views,0,0.1011,60
GS,wikipedia_views,1,-0.1471,59
GS,wikipedia_views,2,-0.0554,58
GS,wikipedia_views,3,-0.0707,57
GS,google_trends,-3,0.0326,57
GS,google_trends,-2,0.2495,58
GS,google_trends,-1,0.0651,59
GS,google_trends,0,0.0262,60
GS,google_trends,1,-0.0032,59
GS,google_trends,2,-0.1829,58
GS,google_trends,3,-0.0453,57
HOOD,wikipedia_views,-3,0.1227,57
HOOD,wikipedia_views,-2,0.1336,58
HOOD,wikipedia_views,-1,0.2425,59
HOOD,wikipedia_views,0,0.1712,60
HOOD,wikipedia_views,1,0.0733,59
HOOD,wikipedia_views,2,-0.0667,58
HOOD,wikipedia_views,3,-0.1545,57
HOOD,google_trends,-3,0.0401,57
HOOD,google_trends,-2,0.0548,58
HOOD,google_trends,-1,0.0056,59
HOOD,google_trends,0,0.0342,60
HOOD,google_trends,1,-0.0443,59
HOOD,google_trends,2,-0.1808,58
HOOD,google_trends,3,-0.1091,57
PYPL,wikipedia_views,-3,0.0373,57
PYPL,wikipedia_views,-2,0.0777,58
PYPL,wikipedia_views,-1,0.0007,59
PYPL,wikipedia_views,0,-0.1158,60
PYPL,wikipedia_views,1,0.0113,59
PYPL,wikipedia_views,2,-0.0255,58
PYPL,wikipedia_views,3,-0.0189,57
PYPL,google_trends,-3,-0.0426,57
PYPL,google_trends,-2,0.2734,58
PYPL,google_trends,-1,0.088,59
PYPL,google_trends,0,-0.0318,60
PYPL,google_trends,1,0.1642,59
PYPL,google_trends,2,-0.1215,58
PYPL,google_trends,3,0.1005,57
SOFI,wikipedia_views,-3,0.2334,57
SOFI,wikipedia_views,-2,0.0819,58
SOFI,wikipedia_views,-1,0.0455,59
SOFI,wikipedia_views,0,0.0807,60
SOFI,wikipedia_views,1,0.1172,59
SOFI,wikipedia_views,2,0.0042,58
SOFI,wikipedia_views,3,-0.1615,57
SOFI,google_trends,-3,0.0733,57
SOFI,google_trends,-2,0.0918,58
SOFI,google_trends,-1,0.139,59
SOFI,google_trends,0,0.0488,60
SOFI,google_trends,1,0.0783,59
SOFI,google_trends,2,-0.0146,58
SOFI,google_trends,3,-0.0568,57
MSTR,wikipedia_views,-3,-0.1345,52
MSTR,wikipedia_views,-2,-0.2327,53
MSTR,wikipedia_views,-1,-0.0116,54
MSTR,wikipedia_views,0,-0.0267,55
MSTR,wikipedia_views,1,-0.3622,54
MSTR,wikipedia_views,2,-0.0045,53
MSTR,wikipedia_views,3,-0.1121,52
MSTR,google_trends,-3,0.1544,57
MSTR,google_trends,-2,0.1043,58
MSTR,google_trends,-1,0.0777,59
MSTR,google_trends,0,0.1617,60
MSTR,google_trends,1,-0.1922,59
MSTR,google_trends,2,-0.1567,58
