date,message_count,bullish_count,bearish_count,net_sentiment
2026-06-18,220,0,20,-100.0
2026-06-19,40,0,0,0.0
2026-06-21,20,0,0,0.0
2026-06-22,140,40,0,100.0
2026-06-23,180,60,0,100.0
